"Plot Title: 2. rope nursery. 10/03/22"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21258717, SEN S/N: 21258717, LBL: Temp)","Intensity, Lux (LGR S/N: 21258717, SEN S/N: 21258717, LBL: Light)","Coupler Attached (LGR S/N: 21258717)","Host Connected (LGR S/N: 21258717)","Stopped (LGR S/N: 21258717)","End Of File (LGR S/N: 21258717)"
103,03/11/22 10:00:00 AM,27.272,2755.6,,,,
104,03/11/22 10:10:00 AM,27.272,2755.6,,,,
105,03/11/22 10:20:00 AM,27.468,5166.7,,,,
106,03/11/22 10:30:00 AM,27.370,3272.2,,,,
107,03/11/22 10:40:00 AM,27.370,3788.9,,,,
108,03/11/22 10:50:00 AM,27.370,3444.5,,,,
109,03/11/22 11:00:00 AM,27.567,3616.7,,,,
110,03/11/22 11:10:00 AM,27.468,5511.1,,,,
111,03/11/22 11:20:00 AM,27.468,4994.5,,,,
112,03/11/22 11:30:00 AM,27.567,4650.0,,,,
113,03/11/22 11:40:00 AM,27.665,7577.8,,,,
114,03/11/22 11:50:00 AM,27.665,3444.5,,,,
115,03/11/22 12:00:00 PM,27.665,3444.5,,,,
116,03/11/22 12:10:00 PM,27.567,6544.5,,,,
117,03/11/22 12:20:00 PM,27.567,4133.4,,,,
118,03/11/22 12:30:00 PM,27.665,3272.2,,,,
119,03/11/22 12:40:00 PM,27.665,7577.8,,,,
120,03/11/22 12:50:00 PM,27.764,7233.4,,,,
121,03/11/22 01:00:00 PM,27.764,8611.2,,,,
122,03/11/22 01:10:00 PM,27.764,4822.3,,,,
123,03/11/22 01:20:00 PM,27.862,6544.5,,,,
124,03/11/22 01:30:00 PM,27.862,8611.2,,,,
125,03/11/22 01:40:00 PM,27.961,6544.5,,,,
126,03/11/22 01:50:00 PM,28.159,2927.8,,,,
127,03/11/22 02:00:00 PM,28.060,9300.1,,,,
128,03/11/22 02:10:00 PM,27.862,9300.1,,,,
129,03/11/22 02:20:00 PM,27.567,3100.0,,,,
130,03/11/22 02:30:00 PM,27.862,11711.2,,,,
131,03/11/22 02:40:00 PM,27.961,12400.1,,,,
132,03/11/22 02:50:00 PM,27.862,1808.3,,,,
133,03/11/22 03:00:00 PM,28.060,2238.9,,,,
134,03/11/22 03:10:00 PM,27.567,2755.6,,,,
135,03/11/22 03:20:00 PM,27.764,3788.9,,,,
136,03/11/22 03:30:00 PM,27.764,1001.0,,,,
137,03/11/22 03:40:00 PM,27.468,1550.0,,,,
